ID,Experimental (Koc),BalabanJ,AMID,ATSC2s,nAromAtom,ATSC0pe,ETA_shape_x,fMF,FilterItLogS,ATS8se,ATSC0dv,nBondsD,NddsN,SMR,TIC1,NdO,nP,TpiPC10,SLogP,BCUTs-1h,ATSC1are,EState_VSA7,NdS,ATS5s,nG12FRing,piPC8,ZMIC1
2,1,1.4872,2.1649,-1.3958,20,0.9187,0,0.625,-6.4466,183.9558,91.5,0,0,87.652,49.9609,0,0,10.6038,5.7372,2.2735,0.0506,0,0,184.5556,1,8.6992,68.5737
3,1,1.86,1.9845,30.2621,12,5.0707,0,0.4828,-4.6462,303.4606,126.9655,2,1,79.1764,103.8619,2,0,7.8438,3.8595,8.0019,0.2982,0,0,238.5514,0,5.8095,46.2398
5,1,1.3463,2.1471,-1.5576,22,1.0481,0,0.6111,-6.9782,328.494,101.8889,0,0,96.466,55.5114,0,0,10.4896,6.2994,2.2791,0.0544,0,0,196.6667,1,8.5814,75.0749
6,1,1.6116,2.0694,7.2778,12,2.2897,0,0.4333,-4.5217,198.43,103.8667,1,0,68.9877,92.2941,1,0,8.5383,3.2162,7.0083,-0.0704,6.0664,0,160.7778,1,6.8786,38.9524
7,0,2.2284,1.9476,9.9028,6,1.8181,0,0.375,-1.182,0,58,1,0,34.9599,38.7807,1,0,5.6901,0.7855,7.0083,-0.3042,6.0664,0,59.6667,0,0,25.8539
10,1,2.4178,1.9452,38.399,6,6.0435,0.1124,0.1875,-2.8188,444.8272,166.7654,2,1,71.2614,104.7807,1,1,6.932,3.2711,8.0019,-0.2303,0,1,200.8652,0,5.247,37.3065
12,1,1.9577,1.9999,7.7431,12,3.353,0,0.35,-4.2285,517.1434,125.6,1,0,83.6096,117.6578,0,0,8.079,4.8286,6.0039,-0.39,24.2655,0,247.5556,0,6.2996,47.8611
13,0,2.3238,1.683,25.3403,0,1.7347,0,0,1.0637,0,38,1,0,13.7708,14,1,0,2.6391,-0.9762,7.0083,-0.9657,0,0,0,0,0,14.25
15,1,1.5785,2.071,10.1451,6,3.5715,0.0938,0.3696,-3.5877,437.1938,133.4783,0,0,86.5066,151.9058,0,0,8.0591,3.6126,6.0037,-0.3356,12.1327,0,363.4306,1,6.2032,38.2872
16,1,1.6213,2.1012,0.3992,18,1.0889,0,0.5,-6.6888,280.0101,106.2222,0,0,88.434,84.6592,0,0,10.0447,5.763,2.2738,0.0533,0,0,231.7778,1,8.2161,59.5879
17,1,2.7603,1.9081,-0.2308,0,2.8324,0,0.3333,-3.8533,0,29.0864,0,0,57.846,28.5293,0,0,4.9345,3.6444,1.5913,0,0,0,16.5066,0,0,76.0782
18,1,2.6254,1.9148,-0.5981,6,1.9934,0,0.4615,-4.1425,0,41.9658,0,0,48.1468,32.1057,0,0,6.0225,4.0058,6.0028,-0.4323,0,0,15.243,0,0,54.3978
21,0,2.3238,1.683,16.2016,0,1.6295,0,0,0.3209,0,40.2222,1,0,14.8684,21.7744,1,0,2.6391,-0.5084,7.0083,-0.3509,0,0,0,0,0,12.0591
22,1,1.7581,2.0646,-1.5021,0,3.8913,0.1413,0.4815,-5.1203,0,82.5514,1,0,77.575,80.382,0,0,7.8399,4.4814,3.5097,-0.0196,0,0,100.2865,1,6.0707,64.6998
23,0,2.1841,1.9292,3.1067,5,1.419,0,0.5,-0.2421,0,42.4,0,0,20.7951,28.4644,0,0,4.536,-0.6131,4.0053,-0.5575,0,0,2,0,0,15.1832
25,0,2.3238,1.683,4.3145,0,0.9521,0,0,0.8147,0,20.2222,1,0,20.9728,14,0,0,2.6391,-0.8113,4.0114,-0.65,0,1,0,0,0,17.25
27,0,1.9109,2.0257,12.7474,10,3.0758,0,0.3846,-3.1466,178.2859,103.8462,1,0,59.0317,76.1536,1,0,8.0195,2.558,7.0083,-0.1101,36.3982,0,144.8333,0,6.3814,37.0614
29,0,1.633,1.6381,-2.6636,0,1.3644,0,0,0.1292,0,22.8889,0,0,12.7598,16.9197,0,0,1.9459,-0.0014,6.0027,-0.219,0,0,0,0,0,9.752
30,0,2.3238,1.683,23.8472,0,2.0562,0,0,0.5337,0,46,1,0,13.3098,19.2451,1,0,2.6391,0.0909,7.0083,-0.41,0,0,0,0,0,12.4669
32,0,1,1.5,-9,0,1.2388,0,0,0.6024,0,20,0,0,8.1428,10.7549,0,0,1.3863,-0.3915,6.003,-0.2678,0,0,0,0,0,7.9624
33,0,2.3238,1.683,-0.0435,0,0.8007,0,0,-1.7263,0,5.1259,0,0,21.347,6.8548,0,0,2.3979,1.9864,1.5312,-0.019,0,0,0,0,0,25.8018
34,0,1.9747,1.7178,-3.9514,0,1.4681,0,0,-0.3272,0,25.6667,0,0,17.3768,23.3681,0,0,2.3979,0.3887,6.0027,-0.1969,6.9237,0,3,0,0,11.2414
35,0,2.1906,1.77,-3.5,0,1.563,0,0,-0.7724,0,28.4,0,0,21.9938,28.074,0,0,2.7726,0.7788,6.0027,-0.1844,0,0,28,0,0,14.1003
36,0,2.3391,1.8065,-3.2654,0,1.6534,0,0,-1.2096,0,31.1111,0,0,26.6108,32.25,0,0,3.091,1.1689,6.0027,-0.1764,0,0,46,0,0,17.3959
38,1,1.7581,2.0646,-1.5021,0,3.8913,0.1413,0.4815,-5.1203,0,82.5514,1,0,77.575,80.382,0,0,7.8399,4.4814,3.5097,-0.0196,0,0,100.2865,1,6.0707,64.6998
39,1,1.9914,1.9909,-2.2223,12,4.4633,0.0463,0.3611,-5.8673,354.0436,125.3951,0,0,88.121,105.7109,0,0,7.8918,5.2059,3.5148,0.0856,48.5309,0,189.1667,0,6.1349,59.2251
40,1,1.9487,1.9996,-1.0788,12,2.4634,0,0.5,-6.2374,137.0831,69.9449,1,0,80.632,59.4565,0,0,7.8257,6.1879,2.243,0.0017,24.2655,0,113.2263,0,6.0187,68.5218
42,0,1.633,1.6381,-0.0341,0,0.9351,0,0,-1.4081,0,2.6815,0,0,16.573,7.6096,0,0,1.9459,1.4215,1.5968,-0.0001,0,0,0,0,0,21.8221
43,0,2.3238,1.683,0.0179,0,0.4719,0,0,-2.4896,0,6.3473,0,0,30.569,6.8548,0,0,2.3979,2.4547,1.4326,-0.0071,0,0,0,0,0,49.6795
44,0,2.3238,1.683,-0.0451,0,0.7071,0,0,-2.0032,0,5.6406,0,0,24.421,9.6096,0,0,2.3979,2.1425,1.5097,-0.0144,0,0,0,0,0,37.4824
45,0,2.3238,1.683,0.0422,0,1.2302,0,0,-1.4666,0,7.3519,0,0,21.168,14,0,0,2.3979,1.81,2.0187,-0.0046,0,0,0,0,0,23.5
46,1,3.0237,1.7,38.2689,0,2.4885,0.5283,0,-0.2198,0,48.5469,1,0,20.3873,25.5098,1,0,2.9957,0.111,7.0066,-0.8978,0,0,0,0,0,23.1073
47,0,3.5412,1.7562,20.8364,0,2.5857,0.1391,0,-0.897,0,52.9697,1,0,27.7468,31.2989,1,0,3.5553,1.2648,7.0083,-0.4503,0,0,3,0,0,27.7447
51,0,2.5099,1.9156,6.5764,0,1.8371,0.1034,0.25,-2.308,0,71.3333,2,0,41.779,57.9334,1,0,5.0814,2.3218,7.0083,0,6.9237,0,125.5,0,0,20.849
52,0,2.5395,1.7394,-0.0755,0,1.4078,0,0,-2.1474,0,8.0926,0,0,26.214,14.4902,0,0,2.7726,2.0289,1.6048,-0.0001,0,0,0,0,0,33.1545
54,0,2.5395,1.7394,11.2756,0,1.631,0,0,0.2261,0,41.6,2,0,19.3914,26.4644,1,0,3.2189,-0.3423,7.0083,-0.35,0,0,4,0,0,13.4544
55,1,2.1036,1.9647,3.2957,12,3.7082,0.037,0.3939,-7.16,271.4582,119.3743,0,0,99.1416,108.9552,0,0,8.0924,6.4737,6.0039,-0.5608,24.2655,0,176.284,0,6.0668,87.6877
56,1,1.9276,1.9926,8.3256,12,3.102,0.0612,0.3939,-3.3839,249.9972,108.9697,0,0,68.3416,92.9552,0,0,7.6585,3.4237,6.0039,-0.4231,24.2655,0,187.8889,0,5.6684,44.5906
57,1,1.7782,2.0355,9.3948,16,5.0217,0,0.4359,-4.9654,506.1835,159.0769,2,0,87.7318,127.5623,2,0,8.9726,3.6096,7.0094,-0.2581,30.3318,0,400.3889,0,7.2265,49.2218
59,1,1.8447,2.1218,-0.2498,10,0.6682,0,0.5455,-3.6995,0,60.3636,0,0,51.356,53.0879,0,0,8.2518,2.9384,2.2575,0.0372,0,0,70.3333,1,6.6313,34.5816
61,0,2.5508,1.9529,16.0617,6,4.8235,0,0.2,-2.7618,321.6421,141.8667,2,0,58.355,85.9874,2,0,6.8045,2.04,7.0094,0.0133,0,0,299.9167,0,4.607,36.9723
62,1,2.5143,1.9457,21.5084,6,5.4553,0,0.1429,-3.6237,667.885,170.2857,2,0,76.683,115.4187,2,0,7.0301,3.3122,7.0094,0.1238,27.6949,0,349.6944,0,4.978,42.9626
64,1,2.3093,1.9686,22.458,6,5.9515,0,0.1111,-5.963,729.4121,184.5926,2,0,95.291,136.5525,2,0,7.0878,5.1608,7.0094,0.1852,0,0,404.0833,0,4.9883,54.6669
65,1,1.7402,2.1081,-1.6343,14,0.7146,0,0.5833,-4.2324,41.1091,65.8333,0,0,61.454,35.6005,0,0,9.0076,3.993,2.2787,0.0312,0,0,97.6667,1,7.3048,47.1784
66,1,1.7402,2.1081,-1.6499,14,1.035,0,0.6087,-4.0119,34.3907,69.8261,0,0,59.249,46.7577,0,0,9.0076,3.388,3.0392,0.0699,12.2632,0,97,1,7.3048,40.8402
68,0,2.0721,2.0267,10.9586,6,2.7588,0,0.6,-1.8404,0,66.9333,2,0,36.188,36.6034,2,0,6.8063,0.9972,7.0094,-0.1056,0,0,67.3333,0,4.9611,31.8252
69,1,1.7811,2.0055,14.883,12,5.3432,0,0.3488,-4.9198,593.5342,173.1628,2,0,87.194,128.217,2,0,7.5616,4.0005,7.0094,0.0952,37.2556,0,368.5278,0,5.4972,52.3147
72,1,1.7616,2.1117,-1.3559,12,0.6924,0,0.5652,-3.9668,20.1554,63.3043,0,0,54.684,50.0419,0,0,8.1661,3.2578,2.2689,0.034,0,0,80,1,6.5286,38.8227
73,0,1.9404,2.0276,9.8422,10,2.1357,0,0.4,-3.0084,72.2961,83.84,1,0,56.8464,70.7934,1,0,7.9744,1.8676,7.0083,-0.2583,42.4646,0,152.1667,0,6.3466,35.9908
74,0,1.9404,2.0276,18.951,10,2.6859,0,0.4167,-2.7928,46.2154,87.8333,1,0,55.2878,66.7361,1,0,7.9744,2.4669,7.0083,-0.2566,42.4646,0,161.8333,0,6.3466,36.2738
75,1,2.4133,1.9314,-0.8252,6,1.4331,0,0.5,-3.7903,0,31.4444,0,0,41.472,24,0,0,5.6199,3.6468,2.2389,0,0,0,4.037,0,0,45
78,0,2.7383,1.9188,90.1526,6,7.2076,0.0868,0.3333,-2.2681,0,107.1111,1,1,39.7632,60.794,1,0,6.5674,2.3192,8.0079,-0.0124,0,0,647.1667,0,3.8408,33.6528
79,0,2.5409,1.9369,32.834,6,3.785,0,0.3333,-0.5314,0,83.1111,2,0,40.3606,49.0587,2,0,6.4162,1.083,7.0094,-0.8444,0,0,290.6667,0,3.8408,33.9302
81,1,1.9932,2.0462,-0.0431,10,0.6417,0,0.4762,-3.3747,0,56.9524,0,0,48.685,46.1808,0,0,7.6495,3.1482,2.2727,0.0204,0,0,68.6667,0,6.0187,33.4777
