ID,NddsN,nP,TpiPC10,SLogP,BCUTs-1h,NdS,ATS5s,nG12FRing,ZMIC1,Experimental
2,0,0,10.6038,5.7372,2.2735,0,184.5556,1,68.5737,5.95
3,1,0,7.8438,3.8595,8.0019,0,238.5514,0,46.2398,3.35
5,0,0,10.4896,6.2994,2.2791,0,196.6667,1,75.0749,6.22
6,0,0,8.5383,3.2162,7.0083,0,160.7778,1,38.9524,3.14
7,0,0,5.6901,0.7855,7.0083,0,59.6667,0,25.8539,1.46
10,1,1,6.932,3.2711,8.0019,1,200.8652,0,37.3065,3.2
12,0,0,8.079,4.8286,6.0039,0,247.5556,0,47.8611,4.14
13,0,0,2.6391,-0.9762,7.0083,0,0,0,14.25,0.15
15,0,0,8.0591,3.6126,6.0037,0,363.4306,1,38.2872,4.25
16,0,0,10.0447,5.763,2.2738,0,231.7778,1,59.5879,5.37
17,0,0,4.9345,3.6444,1.5913,0,16.5066,0,76.0782,3.04
18,0,0,6.0225,4.0058,6.0028,0,15.243,0,54.3978,3.35
21,0,0,2.6391,-0.5084,7.0083,0,0,0,12.0591,0.7
22,0,0,7.8399,4.4814,3.5097,0,100.2865,1,64.6998,4.08
23,0,0,4.536,-0.6131,4.0053,0,2,0,15.1832,1.25
25,0,0,2.6391,-0.8113,4.0114,1,0,0,17.25,0.85
27,0,0,8.0195,2.558,7.0083,0,144.8333,0,37.0614,2.4
29,0,0,1.9459,-0.0014,6.0027,0,0,0,9.752,0.2
30,0,0,2.6391,0.0909,7.0083,0,0,0,12.4669,0
32,0,0,1.3863,-0.3915,6.003,0,0,0,7.9624,0.44
33,0,0,2.3979,1.9864,1.5312,0,0,0,25.8018,1.6
34,0,0,2.3979,0.3887,6.0027,0,3,0,11.2414,0.48
35,0,0,2.7726,0.7788,6.0027,0,28,0,14.1003,0.5
36,0,0,3.091,1.1689,6.0027,0,46,0,17.3959,0.7
38,0,0,7.8399,4.4814,3.5097,0,100.2865,1,64.6998,4.08
39,0,0,7.8918,5.2059,3.5148,0,189.1667,0,59.2251,4.9
40,0,0,7.8257,6.1879,2.243,0,113.2263,0,68.5218,4.82
42,0,0,1.9459,1.4215,1.5968,0,0,0,21.8221,1.44
43,0,0,2.3979,2.4547,1.4326,0,0,0,49.6795,2.06
44,0,0,2.3979,2.1425,1.5097,0,0,0,37.4824,1.78
45,0,0,2.3979,1.81,2.0187,0,0,0,23.5,1.48
46,0,0,2.9957,0.111,7.0066,0,0,0,23.1073,3
47,0,0,3.5553,1.2648,7.0083,0,3,0,27.7447,0.4
51,0,0,5.0814,2.3218,7.0083,0,125.5,0,20.849,1.4
52,0,0,2.7726,2.0289,1.6048,0,0,0,33.1545,1.89
54,0,0,3.2189,-0.3423,7.0083,0,4,0,13.4544,1.7
55,0,0,8.0924,6.4737,6.0039,0,176.284,0,87.6877,5.33
56,0,0,7.6585,3.4237,6.0039,0,187.8889,0,44.5906,3.07
57,0,0,8.9726,3.6096,7.0094,0,400.3889,0,49.2218,2.96
59,0,0,8.2518,2.9384,2.2575,0,70.3333,1,34.5816,3.59
61,0,0,6.8045,2.04,7.0094,0,299.9167,0,36.9723,1.84
62,0,0,7.0301,3.3122,7.0094,0,349.6944,0,42.9626,3.14
64,0,0,7.0878,5.1608,7.0094,0,404.0833,0,54.6669,4.72
65,0,0,9.0076,3.993,2.2787,0,97.6667,1,47.1784,4.35
66,0,0,9.0076,3.388,3.0392,0,97,1,40.8402,4.64
68,0,0,6.8063,0.9972,7.0094,0,67.3333,0,31.8252,1.56
69,0,0,7.5616,4.0005,7.0094,0,368.5278,0,52.3147,3.72
72,0,0,8.1661,3.2578,2.2689,0,80,1,38.8227,3.7
73,0,0,7.9744,1.8676,7.0083,0,152.1667,0,35.9908,2
74,0,0,7.9744,2.4669,7.0083,0,161.8333,0,36.2738,2.2
75,0,0,5.6199,3.6468,2.2389,0,4.037,0,45,3.33
78,1,0,6.5674,2.3192,8.0079,0,647.1667,0,33.6528,2.11
79,0,0,6.4162,1.083,7.0094,0,290.6667,0,33.9302,1.07
81,0,0,7.6495,3.1482,2.2727,0,68.6667,0,33.4777,3.36
82,0,0,7.9308,3.0496,7.0083,0,223.5556,0,50.3056,2.21
85,0,0,7.4542,2.8398,2.2828,0,40,0,33.3447,2.96
86,0,0,7.4542,2.2348,3.0392,0,36,0,28.7913,3.1
87,0,0,7.6427,3.1482,2.2714,0,57.6667,0,33.4777,3.6
88,0,0,7.2091,2.7113,3.0391,0,168.5093,0,36.1039,2.87
89,0,0,8.0092,3.8248,4.0064,0,96.9012,0,46.0762,4.35
92,0,0,7.7585,2.518,4.0064,0,97.3333,0,41.7784,3.46
93,0,0,7.872,3.5562,7.0083,0,126.1111,0,44.2028,3.22
94,0,0,5.8333,1.4732,7.0083,0,69.6667,0,27.1356,2.1
95,0,0,6.4567,2.5003,7.0083,0,125.6358,0,26.9113,1.3
96,0,0,4.6052,1.4258,7.0083,0,139.4321,0,25.7527,1.3
97,0,0,6.5145,3.1102,7.0083,0,84.9178,0,44.0962,1.99
98,0,0,5.9612,1.8633,7.0083,0,96.6667,0,28.0843,2.3
101,0,0,6.3519,2.1118,7.0083,0,105.7469,0,26.4711,1.73
102,0,0,6.3519,2.4568,7.0083,0,85.1564,0,34.8541,1.66
103,0,0,6.4385,2.892,7.0083,0,149.1914,0,27.4394,2.73
104,0,0,6.9515,0.9579,3.095,0,18,0,27.0618,1.69
105,0,0,6.9515,2.9013,2.2661,0,17.6481,0,27.8779,3.48
108,0,0,5.3841,2.0456,6.0028,0,12.3457,0,25.4666,2.6
114,0,0,5.9101,2.2876,8.0074,0,182.75,0,32.4138,2.36
117,1,0,5.9047,1.177,8.0019,0,121,0,26.75,1.73
118,2,0,6.8951,1.2012,8.003,0,239.6667,0,35.143,1.53
119,1,0,6.0967,2.9016,8.0019,0,64.7737,0,36.3358,2.53
121,0,0,5.8985,1.0904,7.0083,0,69.3333,0,27.25,1.43
122,1,0,5.8985,1.177,8.0019,0,71,0,26.75,1.88
124,0,0,5.5269,2.3296,3.0427,0,32,0,26.103,2.96
125,0,0,5.3462,1.1789,6.0027,0,41.5,0,24.3539,1.1
126,0,0,5.68,0.9533,6.0273,0,21.5,0,18.6356,1.56
127,0,0,5.3462,1.6952,3.5135,0,31.5,0,24.7124,1.54
128,0,0,7.6399,3.5754,3.0675,0,80.9856,0,50.9497,3
129,0,0,6.3703,3.2969,7.0083,0,151.6008,0,30.3673,2.6
131,0,0,7.4141,4.2414,3.5111,0,72.0046,0,46.684,4.23
132,0,0,7.8381,3.4094,2.2493,0,186.2222,0,49.8943,3.96
135,0,0,6.0768,2.255,7.0083,0,123.3333,0,28.5851,1.82
136,0,0,7.6482,4.102,3.2069,0,70,0,44.6059,3.3
138,0,0,5.5349,2.6391,2.2785,0,53.5,0,25.9713,2.87
140,0,0,5.8333,1.645,7.0083,0,81.1667,0,26.6024,1.43
142,1,0,6.472,1.5532,8.0019,0,136.9444,0,28.5062,1.94
145,0,0,4.3438,2.5199,7.0083,0,118.8333,0,26.0365,2.61
146,0,0,4.4998,2.91,7.0083,0,131.0833,0,29.3419,3.02
148,0,0,5.3733,2.3034,2.2406,0,28,0,25.1248,2.41
149,0,0,5.3733,1.7006,6.0028,0,28.6667,0,22.1085,2.7
151,0,0,5.3733,1.5772,4.0052,0,28.3333,0,21.815,1.9
152,0,0,3.1355,0.624,3.5101,0,0,0,16.7843,1
153,0,0,2.3979,1.7762,1.6221,0,0,0,43,1.71
154,0,0,5.3759,2.3034,2.2499,0,35,0,25.1248,2.25
159,0,0,3.989,0.5844,7.0083,0,118.8333,0,18.0856,0.36
160,0,0,5.607,2.009,6.0028,0,76,0,23.5396,2.83
161,0,0,5.607,3.6468,2.1837,0,4.037,0,45,2.85
162,0,0,5.1195,2.4491,2.2783,0,3.0648,0,30.6679,2.49
163,0,0,5.1195,2.34,2.2784,0,3.3457,0,25.2904,2.15
164,0,0,5.1195,1.3922,6.0028,0,12,0,22.8266,1.43
165,0,0,2.7726,2.0253,2.0241,0,10.037,0,16.3873,1.7
166,0,0,4.8338,1.0816,3.0442,0,2,0,17.7626,1.6
167,0,0,3.3673,1.559,6.0027,0,56,0,20.8966,1.01
170,0,0,3.6109,1.9491,6.0027,0,68.25,0,24.5127,1.14
171,0,0,3.6109,0.7954,6.0027,0,64.25,0,21.322,1.83
177,0,0,7.1861,3.6898,7.0067,0,122.915,1,65.8704,4.09
178,0,1,6.932,3.1003,7.0067,1,192.5442,0,38.222,2.52
180,1,0,6.4611,4.2084,8.0019,0,75.6587,0,57.298,4.05
181,0,0,7.1335,6.7212,7.0094,0,453.0833,0,68.049,4.38
182,0,0,6.202,5.607,1.9903,0,5.4326,0,69,3.74
184,0,0,9.4739,4.45,3.0368,0,144.4444,0,57.0737,4.02
185,0,0,9.0206,3.993,2.2783,0,85.6667,1,47.1784,4.31
186,0,0,6.4567,2.8453,7.0083,0,104.8909,0,34.4192,2.23
188,0,0,5.6114,3.6468,2.2102,0,4.1565,0,45,3.1
190,0,1,5.5134,2.1218,7.0094,1,355.0864,0,39.1113,2.36
193,0,0,6.2772,1.3886,3.0677,0,96.8951,0,32.4269,2.1
194,0,0,7.2721,3.4302,2.5268,0,78.3333,0,41.9518,2.78
197,0,0,4.1744,2.1298,7.0083,0,106.6667,0,22.9298,2.06
